sequence_id,architecture_id,metric,old,corrected,delta,unit
heldout_h02_crossing,bytetrack_tim_mars,identity_unresolved_duration_s,0.0,0.0,0.0,s
heldout_h02_crossing,bytetrack_tim_mars,lost_or_suppressed_duration_s,33.93332650599999,34.00009585,0.06676934400000789,s
heldout_h02_crossing,bytetrack_tim_mars,target_absent_duration_s,5.733018364999999,5.733018364999999,0.0,s
heldout_h02_crossing,bytetrack_tim_mars,target_absent_with_output_duration_s,0.23335365900000005,0.29997646099999997,0.06662280199999993,s
heldout_h02_crossing,bytetrack_tim_mars,reference_unavailable_duration_s,0.0,0.0,0.0,s
heldout_h02_crossing,bytetrack_tim_mars,reference_gap_duration_s,0.033327126000003204,0.033327126000003204,0.0,s
heldout_h02_crossing,bytetrack_tim_mars,reference_gap_with_output_duration_s,0.0,0.0,0.0,s
heldout_h02_crossing,bytetrack_tim_mars,iou_duration_weighted_mean,0.7730363949648015,0.8293030149428245,0.05626661997802307,fraction
heldout_h02_crossing,bytetrack_tim_mars,iou_median,0.7778907903067447,0.8313970217194782,0.053506231412733474,fraction
heldout_h02_crossing,bytetrack_tim_mars,centre_error_px_duration_weighted_mean,5.402760452281058,3.3728763343655364,-2.0298841179155214,px
heldout_h02_crossing,bytetrack_tim_mars,scored_duration_s,11.70005333,11.633283985999999,-0.06676934400000079,s
heldout_h02_crossing,bytetrack_tim_mars,n_samples,575,571,-4,count
heldout_h02_crossing,deepsort_raw,correct_target_output_duration_s,13.666611696000002,13.600045426000001,-0.06656627000000093,s
heldout_h02_crossing,deepsort_raw,wrong_person_output_duration_s,0.0,0.0,0.0,s
heldout_h02_crossing,deepsort_raw,identity_unresolved_duration_s,0.0,0.0,0.0,s
heldout_h02_crossing,deepsort_raw,lost_or_suppressed_duration_s,31.966768139999996,32.033334409999995,0.06656626999999915,s
heldout_h02_crossing,deepsort_raw,target_absent_duration_s,5.733018364999999,5.733018364999999,0.0,s
heldout_h02_crossing,deepsort_raw,target_absent_with_output_duration_s,0.23335365900000005,0.29997646099999997,0.06662280199999993,s
heldout_h02_crossing,deepsort_raw,reference_unavailable_duration_s,0.0,0.0,0.0,s
heldout_h02_crossing,deepsort_raw,reference_gap_duration_s,0.033327126000003204,0.033327126000003204,0.0,s
heldout_h02_crossing,deepsort_raw,reference_gap_with_output_duration_s,0.0,0.0,0.0,s
