cell_id,sequence_id,config_id,repeat_index,status,bootstrap_ok,bootstrap_track_id,bootstrap_iou,correct_s,wrong_s,lost_s,absent_with_output_s,iou_weighted_mean,transitions_into_lost,transitions_into_reacquired,authority_changes
dev_june_seq04__match_thresh_higher_1,dev_june_seq04,match_thresh_higher_1,,ok,True,5,0.890535,43.46929958499997,0.0,29.03074218700003,0.0,0.8176630996794336,19,20,4
dev_june_seq04__match_thresh_lower_1,dev_june_seq04,match_thresh_lower_1,,ok,True,5,0.890535,42.43535150999997,0.0,30.064690262000035,0.0,0.8215944062666242,18,19,7
dev_june_seq04__track_buffer_higher_1,dev_june_seq04,track_buffer_higher_1,,ok,True,5,0.890535,43.46929958499997,0.0,29.03074218700003,0.0,0.8176376141699887,19,20,3
dev_june_seq04__track_buffer_lower_1,dev_june_seq04,track_buffer_lower_1,,ok,True,5,0.890535,43.46929958499997,0.0,29.03074218700003,0.0,0.8176376141699887,19,20,3
dev_june_seq04__track_thresh_higher_1,dev_june_seq04,track_thresh_higher_1,,ok,True,5,0.890535,43.834131785000245,0.00021644499971884557,28.66569354200004,0.0,0.8202679454118399,17,19,4
dev_june_seq04__track_thresh_lower_1,dev_june_seq04,track_thresh_lower_1,,ok,True,5,0.890535,43.66861913999999,0.0,28.831422632000013,0.0,0.819238966786437,17,18,4
dev_june_seq04__canonical_baseline_r1,dev_june_seq04,canonical_baseline,1,ok,True,5,0.890535,43.46929958499997,0.0,29.03074218700003,0.0,0.8176376141699887,19,20,3
dev_june_seq04__canonical_baseline_r2,dev_june_seq04,canonical_baseline,2,ok,True,5,0.890535,43.46929958499997,0.0,29.03074218700003,0.0,0.8176376141699887,19,20,3
dev_may_hard_reentry__canonical_baseline,dev_may_hard_reentry,canonical_baseline,,ok,True,1,0.947474,63.08984382900126,0.1329063179997796,4.642159626998957,0.0,0.8383579398247069,6,7,3
dev_may_hard_reentry__match_thresh_higher_1,dev_may_hard_reentry,match_thresh_higher_1,,ok,True,1,0.947474,63.08984382900126,0.1329063179997796,4.642159626998957,0.0,0.8383579398247069,6,7,3
dev_may_hard_reentry__match_thresh_lower_1,dev_may_hard_reentry,match_thresh_lower_1,,ok,True,1,0.947474,62.94223809400109,0.1329063179997796,4.789765361999127,0.0,0.8392418813098536,5,6,2
dev_may_hard_reentry__track_buffer_higher_1,dev_may_hard_reentry,track_buffer_higher_1,,ok,True,1,0.947474,63.08984382900126,0.1329063179997796,4.642159626998957,0.0,0.8383579398247069,6,7,3
dev_may_hard_reentry__track_buffer_lower_1,dev_may_hard_reentry,track_buffer_lower_1,,ok,True,1,0.947474,63.08984382900126,0.1329063179997796,4.642159626998957,0.0,0.8383579398247069,6,7,3
dev_may_hard_reentry__track_thresh_higher_1,dev_may_hard_reentry,track_thresh_higher_1,,ok,True,1,0.947474,63.71018168700105,0.5840850149990295,3.570643071999921,0.0,0.8381075188567251,4,5,2
dev_may_hard_reentry__track_thresh_lower_1,dev_may_hard_reentry,track_thresh_lower_1,,ok,True,1,0.947474,63.08984382900126,0.1329063179997796,4.642159626998957,0.0,0.8384460392438083,6,7,3
dev_may_hard_reentry__canonical_baseline_r1,dev_may_hard_reentry,canonical_baseline,1,ok,True,1,0.947474,63.08984382900126,0.1329063179997796,4.642159626998957,0.0,0.8383579398247069,6,7,3
dev_may_hard_reentry__canonical_baseline_r2,dev_may_hard_reentry,canonical_baseline,2,ok,True,1,0.947474,63.08984382900126,0.1329063179997796,4.642159626998957,0.0,0.8383579398247069,6,7,3
