status,source_kind,category,sequence,old_path,new_path,exists
useful,replay,eval_matrix,seq04,artifacts/bags/derived/eval_matrix/2026-06-19__13-01-36__video__2026-06-19__official__seq04__four_person_occlusion_no_exit__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_1,artifacts/bags/derived/eval_matrix/2026-06-19__13-01-36__video__2026-06-19__official__seq04__four_person_occlusion_no_exit__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_1,True
useful,replay,eval_matrix,seq04,artifacts/bags/derived/eval_matrix/2026-06-19__13-01-36__video__2026-06-19__official__seq04__four_person_occlusion_no_exit__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_1__r1,artifacts/bags/derived/eval_matrix/2026-06-19__13-01-36__video__2026-06-19__official__seq04__four_person_occlusion_no_exit__yolov8s_bytetrack_tim_mars__tracker_bytetrack__tim_mars__target_1__r1,True
review,raw_capture,lab_and_old,,artifacts/bags/live_camera/2026-03-29__control_validation_clean,artifacts/bags/originals/lab_old/full_pipeline/2026-03-29__control_validation_clean,True
review,raw_capture,lab_and_old,,artifacts/bags/live_camera/2026-04-29__10-26-03__video__clean_walk_yolov6n_ocsort,artifacts/bags/originals/lab_old/full_pipeline/2026-04-29__10-26-03__video__clean_walk_yolov6n_ocsort,True
review,raw_capture,lab_and_old,,artifacts/bags/live_camera/2026-04-29__10-28-08__video__single_person_occlusion_yolov6n_ocsort,artifacts/bags/originals/lab_old/full_pipeline/2026-04-29__10-28-08__video__single_person_occlusion_yolov6n_ocsort,True
review,raw_capture,lab_and_old,,artifacts/bags/live_camera/2026-04-29__10-30-08__video__fov_exit_reentry_yolov6n_ocsort,artifacts/bags/originals/lab_old/full_pipeline/2026-04-29__10-30-08__video__fov_exit_reentry_yolov6n_ocsort,True
review,raw_capture,lab_and_old,,artifacts/bags/live_camera/2026-04-30__10-52-20__video__flight_01,artifacts/bags/originals/lab_old/full_pipeline/2026-04-30__10-52-20__video__flight_01,True
review,raw_capture,lab_and_old,,artifacts/bags/live_camera/2026-04-30__12-29-33__video__oficial_flight_01,artifacts/bags/originals/lab_old/full_pipeline/2026-04-30__12-29-33__video__oficial_flight_01,True
review,raw_capture,lab_and_old,,artifacts/bags/live_camera/2026-04-30__12-42-17__video__oficial_flight_02,artifacts/bags/originals/lab_old/full_pipeline/2026-04-30__12-42-17__video__oficial_flight_02,True
review,raw_capture,lab_and_old,two_person,artifacts/bags/live_camera/2026-05-11__10-44-58__video__tim_v1j_two_person_ambiguity,artifacts/bags/originals/lab_old/full_pipeline/2026-05-11__10-44-58__video__tim_v1j_two_person_ambiguity,True
review,raw_capture,lab_and_old,,artifacts/bags/live_camera/2026-05-11__11-30-18__video__tim_v1m_appearance_critical_crossing,artifacts/bags/originals/lab_old/full_pipeline/2026-05-11__11-30-18__video__tim_v1m_appearance_critical_crossing,True
review,raw_capture,lab_and_old,,artifacts/bags/live_camera/2026-05-11__11-31-27__video__tim_v1m_appearance_critical_crossing,artifacts/bags/originals/lab_old/full_pipeline/2026-05-11__11-31-27__video__tim_v1m_appearance_critical_crossing,True
review,raw_capture,lab_and_old,two_person,artifacts/bags/live_camera/2026-06-17__11-19-06__video__two_person_tim_mars,artifacts/bags/originals/lab_old/full_pipeline/2026-06-17__11-19-06__video__two_person_tim_mars,True
review,raw_capture,lab_and_old,,artifacts/bags/live_camera/2026-06-17__12-34-54__video__integrated_vga_dash30_full,artifacts/bags/originals/lab_old/full_pipeline/2026-06-17__12-34-54__video__integrated_vga_dash30_full,True
review,raw_capture,lab_and_old,seq01,artifacts/bags/live_camera/2026-06-19__10-27-03__video__2026-06-19__seq01__clean_two_person__yolov8s_bytetrack_tim_mars,artifacts/bags/originals/lab_old/full_pipeline/2026-06-19__10-27-03__video__2026-06-19__seq01__clean_two_person__yolov8s_bytetrack_tim_mars,True
review,raw_capture,lab_and_old,seq01,artifacts/bags/live_camera/2026-06-19__11-58-02__video__2026-06-19__seq01__clean_four_person__yolov8s_bytetrack_tim_mars,artifacts/bags/originals/lab_old/full_pipeline/2026-06-19__11-58-02__video__2026-06-19__seq01__clean_four_person__yolov8s_bytetrack_tim_mars,True
review,raw_capture,lab_and_old,seq01,artifacts/bags/live_camera/2026-06-19__11-59-23__video__2026-06-19__seq01__clean_four_person__yolov8s_bytetrack_tim_mars,artifacts/bags/originals/lab_old/full_pipeline/2026-06-19__11-59-23__video__2026-06-19__seq01__clean_four_person__yolov8s_bytetrack_tim_mars,True
canonical,raw_capture,official_field_2026-06-19,seq01,artifacts/bags/live_camera/2026-06-19__12-45-45__video__2026-06-19__official__seq01__clean_four_person__yolov8s_bytetrack_tim_mars,artifacts/bags/originals/official_field_2026-06-19/seq01_clean_four_person/full_pipeline/2026-06-19__12-45-45__video__2026-06-19__official__seq01__clean_four_person__yolov8s_bytetrack_tim_mars,True
canonical,raw_capture,official_field_2026-06-19,seq02,artifacts/bags/live_camera/2026-06-19__12-50-03__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars,artifacts/bags/originals/official_field_2026-06-19/seq02_target_reentry/full_pipeline/2026-06-19__12-50-03__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars,True
canonical,raw_capture,official_field_2026-06-19,seq02,artifacts/bags/live_camera/2026-06-19__12-52-30__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars,artifacts/bags/originals/official_field_2026-06-19/seq02_target_reentry/full_pipeline/2026-06-19__12-52-30__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars,True
canonical,raw_capture,official_field_2026-06-19,seq03,artifacts/bags/live_camera/2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,artifacts/bags/originals/official_field_2026-06-19/seq03_crossing_ambiguity/full_pipeline/2026-06-19__12-57-48__video__2026-06-19__official__seq03__four_person_crossing_ambiguity__yolov8s_bytetrack_tim_mars,True
canonical,raw_capture,official_field_2026-06-19,seq04,artifacts/bags/live_camera/2026-06-19__13-01-36__video__2026-06-19__official__seq04__four_person_occlusion_no_exit__yolov8s_bytetrack_tim_mars,artifacts/bags/originals/official_field_2026-06-19/seq04_occlusion_no_exit/full_pipeline/2026-06-19__13-01-36__video__2026-06-19__official__seq04__four_person_occlusion_no_exit__yolov8s_bytetrack_tim_mars,True
review,runtime_eval,runtime_eval,,artifacts/bags/live_runtime_2026-06-08/live_runtime_bytetrack_raw_60s,artifacts/bags/derived/runtime_eval/live_runtime_bytetrack_raw_60s,True
review,runtime_eval,runtime_eval,,artifacts/bags/live_runtime_2026-06-08/live_runtime_vga_bytetrack_raw_60s,artifacts/bags/derived/runtime_eval/live_runtime_vga_bytetrack_raw_60s,True
review,runtime_eval,runtime_eval,,artifacts/bags/live_runtime_2026-06-08/live_runtime_vga_bytetrack_tim_mars_60s,artifacts/bags/derived/runtime_eval/live_runtime_vga_bytetrack_tim_mars_60s,True
review,runtime_eval,runtime_eval,,artifacts/bags/live_runtime_2026-06-08/live_runtime_vga_bytetrack_tim_mars_rerun_60s,artifacts/bags/derived/runtime_eval/live_runtime_vga_bytetrack_tim_mars_rerun_60s,True
review,runtime_eval,runtime_eval,,artifacts/bags/live_runtime_2026-06-08/live_runtime_vga_deepsort_mars_raw_60s,artifacts/bags/derived/runtime_eval/live_runtime_vga_deepsort_mars_raw_60s,True
review,runtime_eval,runtime_eval,,artifacts/bags/live_runtime_2026-06-08/live_runtime_vga_ocsort_raw_60s,artifacts/bags/derived/runtime_eval/live_runtime_vga_ocsort_raw_60s,True
review,runtime_eval,runtime_eval,,artifacts/bags/live_runtime_2026-06-08/live_runtime_vga_ocsort_tim_mars_60s,artifacts/bags/derived/runtime_eval/live_runtime_vga_ocsort_tim_mars_60s,True
review,mavros_aux,mavros_aux,seq01,artifacts/bags/mavros/2026-06-19__11-56-07__source__2026-06-19__seq01__clean_four_person__mavros,artifacts/bags/originals/lab_old/mavros/2026-06-19__11-56-07__source__2026-06-19__seq01__clean_four_person__mavros,True
review,mavros_aux,mavros_aux,seq01,artifacts/bags/mavros/2026-06-19__11-58-02__video__2026-06-19__seq01__clean_four_person__yolov8s_bytetrack_tim_mars__mavros,artifacts/bags/originals/lab_old/mavros/2026-06-19__11-58-02__video__2026-06-19__seq01__clean_four_person__yolov8s_bytetrack_tim_mars__mavros,True
review,mavros_aux,mavros_aux,seq01,artifacts/bags/mavros/2026-06-19__11-59-23__video__2026-06-19__seq01__clean_four_person__yolov8s_bytetrack_tim_mars__mavros,artifacts/bags/originals/lab_old/mavros/2026-06-19__11-59-23__video__2026-06-19__seq01__clean_four_person__yolov8s_bytetrack_tim_mars__mavros,True
useful,mavros_aux,official_field_2026-06-19,seq01,artifacts/bags/mavros/2026-06-19__12-38-13__source__2026-06-19__official__seq01__clean_four_person__mavros,artifacts/bags/originals/official_field_2026-06-19/seq01_clean_four_person/mavros/2026-06-19__12-38-13__source__2026-06-19__official__seq01__clean_four_person__mavros,True
useful,mavros_aux,official_field_2026-06-19,seq01,artifacts/bags/mavros/2026-06-19__12-45-45__video__2026-06-19__official__seq01__clean_four_person__yolov8s_bytetrack_tim_mars__mavros,artifacts/bags/originals/official_field_2026-06-19/seq01_clean_four_person/mavros/2026-06-19__12-45-45__video__2026-06-19__official__seq01__clean_four_person__yolov8s_bytetrack_tim_mars__mavros,True
useful,mavros_aux,official_field_2026-06-19,seq01,artifacts/bags/mavros/2026-06-19__12-48-17__source__2026-06-19__official__seq01__clean_four_person__mavros,artifacts/bags/originals/official_field_2026-06-19/seq01_clean_four_person/mavros/2026-06-19__12-48-17__source__2026-06-19__official__seq01__clean_four_person__mavros,True
useful,mavros_aux,official_field_2026-06-19,seq02,artifacts/bags/mavros/2026-06-19__12-50-03__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars__mavros,artifacts/bags/originals/official_field_2026-06-19/seq02_target_reentry/mavros/2026-06-19__12-50-03__video__2026-06-19__official__seq02__four_person_target_reentry__yolov8s_bytetrack_tim_mars__mavros,True
