max_age_frames	sequence	metric_type	stream	field	baseline_age0	candidate	delta	safety_tolerance_s	gate
93	seq01_clean	annotated_id	tim_target_memory	correct_target_duration_s	108.75	108.75	0.0		N/A
93	seq01_clean	annotated_id	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
93	seq01_clean	annotated_id	tim_target_memory	lost_target_duration_s	13.59	13.59	0.0		N/A
93	seq01_clean	annotated_id	tim_target_memory	correct_target_ratio	0.889	0.889	0.0		N/A
93	seq01_clean	annotated_id	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
93	seq01_clean	annotated_id	tim_target_memory	lost_target_ratio	0.111	0.111	0.0		N/A
93	seq01_clean	spatial	raw_target	correct_target_duration_s	54.687	54.687	0.0		N/A
93	seq01_clean	spatial	raw_target	wrong_target_duration_s	0.0	0.0	0.0		N/A
93	seq01_clean	spatial	raw_target	lost_target_duration_s	53.276	53.276	0.0		N/A
93	seq01_clean	spatial	raw_target	correct_target_ratio	0.507	0.507	0.0		N/A
93	seq01_clean	spatial	raw_target	wrong_target_ratio	0.0	0.0	0.0		N/A
93	seq01_clean	spatial	raw_target	lost_target_ratio	0.493	0.493	0.0		N/A
93	seq01_clean	spatial	tim_target_memory	correct_target_duration_s	107.963	107.963	0.0		N/A
93	seq01_clean	spatial	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
93	seq01_clean	spatial	tim_target_memory	lost_target_duration_s	0.0	0.0	0.0		N/A
93	seq01_clean	spatial	tim_target_memory	correct_target_ratio	1.0	1.0	0.0		N/A
93	seq01_clean	spatial	tim_target_memory	wrong_target_ratio	0.0	0.0	0.0		N/A
93	seq01_clean	spatial	tim_target_memory	lost_target_ratio	0.0	0.0	0.0		N/A
93	seq03_crossing	annotated_id	raw_target	correct_target_duration_s	32.6	32.6	0.0		N/A
93	seq03_crossing	annotated_id	raw_target	wrong_target_duration_s	0.1	0.1	0.0		N/A
93	seq03_crossing	annotated_id	raw_target	lost_target_duration_s	63.027	63.027	0.0		N/A
93	seq03_crossing	annotated_id	raw_target	correct_target_ratio	0.341	0.341	0.0		N/A
93	seq03_crossing	annotated_id	raw_target	wrong_target_ratio	0.001	0.001	0.0		N/A
93	seq03_crossing	annotated_id	raw_target	lost_target_ratio	0.658	0.658	0.0		N/A
93	seq03_crossing	annotated_id	tim_target_memory	correct_target_duration_s	79.398	79.398	0.0		N/A
93	seq03_crossing	annotated_id	tim_target_memory	wrong_target_duration_s	0.95	0.95	0.0	0.05	PASS
93	seq03_crossing	annotated_id	tim_target_memory	lost_target_duration_s	15.379	15.379	0.0		N/A
93	seq03_crossing	annotated_id	tim_target_memory	correct_target_ratio	0.829	0.829	0.0		N/A
93	seq03_crossing	annotated_id	tim_target_memory	wrong_target_ratio	0.01	0.01	0.0		N/A
93	seq03_crossing	annotated_id	tim_target_memory	lost_target_ratio	0.161	0.161	0.0		N/A
93	seq03_crossing	spatial	raw_target	correct_target_duration_s	32.608	32.608	0.0		N/A
93	seq03_crossing	spatial	raw_target	wrong_target_duration_s	0.0	0.0	0.0		N/A
93	seq03_crossing	spatial	raw_target	lost_target_duration_s	57.218	57.218	0.0		N/A
93	seq03_crossing	spatial	raw_target	correct_target_ratio	0.341	0.341	0.0		N/A
93	seq03_crossing	spatial	raw_target	wrong_target_ratio	0.0	0.0	0.0		N/A
93	seq03_crossing	spatial	raw_target	lost_target_ratio	0.598	0.598	0.0		N/A
93	seq03_crossing	spatial	tim_target_memory	correct_target_duration_s	79.962	79.962	0.0		N/A
93	seq03_crossing	spatial	tim_target_memory	wrong_target_duration_s	0.0	0.0	0.0	0.05	PASS
93	seq03_crossing	spatial	tim_target_memory	lost_target_duration_s	9.864	9.864	0.0		N/A
93	seq03_crossing	spatial	tim_target_memory	correct_target_ratio	0.835	0.835	0.0		N/A
