config_id,dimension_id,order,overrides,raw_correct_s,raw_wrong_s,raw_lost_s,raw_wrong_ratio,raw_lost_ratio,tim_correct_s,tim_wrong_s,tim_lost_s,tim_absent_valid_s,tim_no_selection_s,tim_correct_ratio,tim_wrong_ratio,tim_lost_ratio,tim_wrong_burst_count_sum,recovery_attempt_count_sum,total_memory_contamination_count_sum,delta_wrong_s_vs_baseline,delta_lost_s_vs_baseline,delta_correct_s_vs_baseline
appearance_conservative_margin_lower_2,appearance_conservative_margin,13,"{""appearance_conservative_margin"": 0.01}",112.283,62.647,167.659,0.1829,0.4894,285.548,6.153,50.888,0.0,0.0,0.8335,0.018,0.1485,10,188,121,0.0,-0.8,0.8
appearance_conservative_margin_lower_1,appearance_conservative_margin,14,"{""appearance_conservative_margin"": 0.03}",112.283,62.647,167.659,0.1829,0.4894,285.548,6.153,50.888,0.0,0.0,0.8335,0.018,0.1485,10,188,121,0.0,-0.8,0.8
appearance_conservative_margin_higher_1,appearance_conservative_margin,15,"{""appearance_conservative_margin"": 0.07}",112.283,62.647,167.659,0.1829,0.4894,284.198,6.153,52.238,0.0,0.0,0.8296,0.018,0.1525,10,184,121,0.0,0.55,-0.55
appearance_conservative_margin_higher_2,appearance_conservative_margin,16,"{""appearance_conservative_margin"": 0.09}",112.283,62.647,167.659,0.1829,0.4894,283.148,6.153,53.288,0.0,0.0,0.8265,0.018,0.1555,10,186,121,0.0,1.6,-1.6
hard_negative_reject_similarity_lower_2,hard_negative_reject_similarity,17,"{""hard_negative_reject_similarity"": 0.7}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,184,121,0.0,0.0,0.0
hard_negative_reject_similarity_lower_1,hard_negative_reject_similarity,18,"{""hard_negative_reject_similarity"": 0.75}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,184,121,0.0,0.0,0.0
hard_negative_reject_similarity_higher_1,hard_negative_reject_similarity,19,"{""hard_negative_reject_similarity"": 0.85}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,184,121,0.0,0.0,0.0
hard_negative_reject_similarity_higher_2,hard_negative_reject_similarity,20,"{""hard_negative_reject_similarity"": 0.9}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,184,121,0.0,0.0,0.0
hard_negative_reject_margin_lower_2,hard_negative_reject_margin,21,"{""hard_negative_reject_margin"": 0.0}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,184,121,0.0,0.0,0.0
hard_negative_reject_margin_lower_1,hard_negative_reject_margin,22,"{""hard_negative_reject_margin"": 0.015}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,184,121,0.0,0.0,0.0
hard_negative_reject_margin_higher_1,hard_negative_reject_margin,23,"{""hard_negative_reject_margin"": 0.045}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,184,121,0.0,0.0,0.0
hard_negative_reject_margin_higher_2,hard_negative_reject_margin,24,"{""hard_negative_reject_margin"": 0.06}",112.283,62.647,167.659,0.1829,0.4894,284.748,6.153,51.688,0.0,0.0,0.8312,0.018,0.1509,10,184,121,0.0,0.0,0.0
confirmation_time_lower_1,confirmation_time,25,"{""min_confirm_frames_after_reacquire"": 0}",112.283,62.647,167.659,0.1829,0.4894,286.598,6.303,49.688,0.0,0.0,0.8366,0.0184,0.145,10,168,124,0.15,-2.0,1.85
confirmation_time_higher_1,confirmation_time,26,"{""min_confirm_frames_after_reacquire"": 2}",112.283,62.647,167.659,0.1829,0.4894,282.998,5.953,53.638,0.0,0.0,0.8261,0.0174,0.1566,10,185,118,-0.2,1.95,-1.75
confirmation_time_higher_2,confirmation_time,27,"{""min_confirm_frames_after_reacquire"": 3}",112.283,62.647,167.659,0.1829,0.4894,281.698,5.942,54.949,0.0,0.0,0.8223,0.0173,0.1604,9,185,117,-0.211,3.261,-3.05
confirmation_time_higher_3,confirmation_time,28,"{""min_confirm_frames_after_reacquire"": 4}",112.283,62.647,167.659,0.1829,0.4894,279.398,5.892,57.299,0.0,0.0,0.8155,0.0172,0.1673,9,186,116,-0.261,5.611,-5.35
