sequence_id,config_id,dimension_id,order,overrides,raw_correct_s,raw_wrong_s,raw_lost_s,raw_wrong_ratio,raw_lost_ratio,tim_correct_s,tim_wrong_s,tim_lost_s,tim_absent_valid_s,tim_no_selection_s,tim_correct_ratio,tim_wrong_ratio,tim_lost_ratio,tim_wrong_burst_count,tim_wrong_handover_count,tim_longest_wrong_burst_s,recovery_attempt_count,correct_candidate_suppressed_duration_s,hard_negative_contamination_count,positive_memory_contamination_count,total_memory_contamination_count,delta_wrong_s_vs_baseline,delta_lost_s_vs_baseline,delta_correct_s_vs_baseline
dev_june_seq03,ambiguity_margin_lower_2,ambiguity_margin,5,"{""ambiguity_margin"": 0.03}",12.457,54.02,29.25,0.564,0.306,73.892,6.303,15.532,0.0,0.0,0.772,0.066,0.162,9,0,1.3499999999999943,78,5.831000000000003,8,118,126,0.25,-0.25,0.0
dev_june_seq03,ambiguity_margin_lower_1,ambiguity_margin,6,"{""ambiguity_margin"": 0.05}",12.457,54.02,29.25,0.564,0.306,73.892,6.303,15.532,0.0,0.0,0.772,0.066,0.162,9,0,1.3499999999999943,78,5.831000000000003,8,118,126,0.25,-0.25,0.0
dev_june_seq03,ambiguity_margin_higher_1,ambiguity_margin,7,"{""ambiguity_margin"": 0.09}",12.457,54.02,29.25,0.564,0.306,73.892,5.759,16.076,0.0,0.0,0.772,0.06,0.168,8,0,1.3499999999999943,77,5.831000000000003,8,107,115,-0.2939999999999996,0.2940000000000005,0.0
dev_june_seq03,ambiguity_margin_higher_2,ambiguity_margin,8,"{""ambiguity_margin"": 0.11}",12.457,54.02,29.25,0.564,0.306,73.892,4.809,17.026,0.0,0.0,0.772,0.05,0.178,7,0,1.3499999999999943,73,5.831000000000003,8,92,100,-1.2439999999999998,1.2439999999999998,0.0
dev_june_seq03,appearance_conservative_min_similarity_lower_2,appearance_conservative_min_similarity,9,"{""appearance_conservative_min_similarity"": 0.55}",12.457,54.02,29.25,0.564,0.306,73.892,6.053,15.782,0.0,0.0,0.772,0.063,0.165,9,0,1.3499999999999943,77,5.831000000000003,8,113,121,0.0,0.0,0.0
dev_june_seq03,appearance_conservative_min_similarity_lower_1,appearance_conservative_min_similarity,10,"{""appearance_conservative_min_similarity"": 0.6}",12.457,54.02,29.25,0.564,0.306,73.892,6.053,15.782,0.0,0.0,0.772,0.063,0.165,9,0,1.3499999999999943,77,5.831000000000003,8,113,121,0.0,0.0,0.0
dev_june_seq03,appearance_conservative_min_similarity_higher_1,appearance_conservative_min_similarity,11,"{""appearance_conservative_min_similarity"": 0.7}",12.457,54.02,29.25,0.564,0.306,73.892,6.053,15.782,0.0,0.0,0.772,0.063,0.165,9,0,1.3499999999999943,77,5.831000000000003,8,113,121,0.0,0.0,0.0
dev_june_seq03,appearance_conservative_min_similarity_higher_2,appearance_conservative_min_similarity,12,"{""appearance_conservative_min_similarity"": 0.75}",12.457,54.02,29.25,0.564,0.306,73.892,6.053,15.782,0.0,0.0,0.772,0.063,0.165,9,0,1.3499999999999943,77,5.831000000000003,8,113,121,0.0,0.0,0.0
dev_june_seq03,appearance_conservative_margin_lower_2,appearance_conservative_margin,13,"{""appearance_conservative_margin"": 0.01}",12.457,54.02,29.25,0.564,0.306,73.892,6.053,15.782,0.0,0.0,0.772,0.063,0.165,9,0,1.3499999999999943,77,5.831000000000003,8,113,121,0.0,0.0,0.0
dev_june_seq03,appearance_conservative_margin_lower_1,appearance_conservative_margin,14,"{""appearance_conservative_margin"": 0.03}",12.457,54.02,29.25,0.564,0.306,73.892,6.053,15.782,0.0,0.0,0.772,0.063,0.165,9,0,1.3499999999999943,77,5.831000000000003,8,113,121,0.0,0.0,0.0
