model,tracker,status,json_path,health_score,detections_hz,timing_hz,tracker_hz,target_hz,e2e_det_p50_ms,e2e_det_p95_ms,e2e_det_p99_ms,infer_p50_ms,infer_p95_ms,infer_p99_ms,pre_p95_ms,container_queue_p95_ms,pub_dt_p95_ms,track_p50_ms,track_p95_ms,track_p99_ms,e2e_target_p95_ms,target_p95_ms,det_per_msg_mean,det_zero_ratio,notes
yolov8n,bytetrack,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8n__bytetrack.json,92.63540649414062,15.99941225359119,16.03274436245284,16.03274436245284,15.499430620666464,16.725818634033203,24.51114845275879,27.963897705078118,11.693142890930176,18.2523136138916,20.623579788208005,3.966907024383545,1.041509985923767,131.55215454101562,4.862247943878174,12.007867813110352,15.088513565063469,0.0,,1.1958333333333333,0.0,
yolov8n,deepsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8n__deepsort.json,86.65377371651786,12.197954275396091,12.197954275396091,11.164794213818826,11.031483238131438,17.94369888305664,28.23694944381714,33.62179965972901,12.760180473327637,20.221585750579834,23.94028959274293,4.190491080284119,1.2415164709091187,173.423583984375,56.21311950683594,77.30246658325196,85.6454092407227,116.12556838989258,,1.0,0.0,
yolov8s,sort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8s__sort.json,92.4105862208775,15.288425486736516,15.255117370207678,14.588955039630923,15.987895933842108,17.571094512939453,24.45530548095703,27.514614810943606,13.008135795593262,18.39316682815552,22.188692760467532,3.7349374890327423,1.0457590341567993,133.12589645385742,4.1292970180511475,8.59236636161804,10.736014719009399,0.0,,1.0,0.0,
yolov8s,ocsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8s__ocsort.json,93.40738427298409,17.09194558130879,17.12526321402089,16.392275294354626,16.0590989672336,18.17482280731201,25.254307079315183,29.932358074188237,13.2877779006958,18.765135288238525,21.986087322235107,4.1232072591781606,0.9301445156335824,126.14831008911132,4.481040000915527,9.142473554611207,12.247545461654653,0.0,,1.0,0.0,
yolov8s,bytetrack,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8s__bytetrack.json,93.14883798871722,16.359215758241373,16.32589759987428,15.659534432532473,15.492943640697021,18.01408863067627,26.9142762184143,30.602909317016657,13.380482196807861,19.429391860961886,22.156616497039803,4.330794119834899,1.0152908086776733,127.95813407897943,4.462929010391235,9.052101230621336,12.079895181655884,0.0,,1.0061099796334012,0.0,
yolov8s,deepsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8s__deepsort.json,87.82729840959821,13.899476503089888,13.932808581034948,12.232872605836903,12.166208449946785,20.396638870239258,30.456952381134027,36.14533290863036,15.166905403137207,22.617311954498284,26.546448726654052,3.759085261821746,1.2748153150081631,165.20891113281246,56.995182037353516,79.88182907104492,86.6258917236328,136.1948425292969,,1.0,0.0,
yolov8m,sort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8m__sort.json,92.18207996913364,15.488937797527123,15.588866428478912,15.588866428478912,15.588866428478912,37.87205505371094,47.55834884643554,55.215378723144525,33.06300163269043,40.3697286605835,46.36145908355712,4.286201620101927,0.9718948751688004,134.72544021606444,4.1571946144104,8.355905199050902,11.69274084091185,0.0,,1.0,0.0,
yolov8m,ocsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8m__ocsort.json,92.13920549665178,16.16501688713533,16.16501688713533,16.33166654576559,16.33166654576559,38.39558792114258,45.83000335693359,54.142876892089795,33.5053596496582,38.79980545043945,45.212079162597604,3.9752322196960437,1.1324731588363635,135.02556152343746,3.8616089820861816,8.534376049041747,11.819991025924683,0.0,,1.0,0.0,
yolov8m,bytetrack,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8m__bytetrack.json,89.04227534702846,14.960393806456498,14.993713169054397,14.460603367488018,14.393964642292222,38.576969146728516,47.15134372711182,55.032531013488764,33.502960205078125,39.834664726257316,43.5944102859497,4.189811897277826,1.5442583858966823,156.70407257080075,4.436197519302368,8.545622730255127,10.35965002059937,0.0,,1.0,0.0,
yolov8m,deepsort,ok,/home/francisco/Desktop/Thesis-Code/reports/timing/live_matrix_20260427_120926/yolov8m__deepsort.json,84.40836432320732,12.388865488558835,12.388865488558835,11.389763433029897,11.189943021924108,40.136688232421875,51.186142921447754,61.43895320892336,34.48233985900879,43.433501625061034,47.85885448455811,4.057894635200499,1.9436114072799673,189.14144973754878,58.452314376831055,78.20255279541016,87.02252006530762,151.73256301879883,,1.0,0.0,
