run_id	condition	frame_id	gallery	gallery_size	state	control_mode	candidate_track_ids	target_track_id	best_track_id	all_scores_exact	best_present	strict_full	mars_top1	repvgg_top1	mars_margin	repvgg_margin	pairwise_agreement	pairwise_disagreement	pairwise_ties
r1_ambiguity_guarded_hailo	ambiguity_guarded_hailo	701	all_target_history	101	LOST	HOVER	[1,41]	1	1	False	True	False	1	1	0.31054767334072675	0.36033448091689635	1	0	0
r1_ambiguity_guarded_hailo	ambiguity_guarded_hailo	701	updated_target_gallery	94	LOST	HOVER	[1,41]	1	1	False	True	False	1	1	0.30795317738807815	0.3553835264891967	1	0	0
r1_ambiguity_guarded_hailo	ambiguity_guarded_hailo	708	all_target_history	102	REACQUIRED	CONFIRM	[1,41]	1	1	False	True	False	1	1	0.39113340262135554	0.40895202108446804	1	0	0
r1_ambiguity_guarded_hailo	ambiguity_guarded_hailo	708	updated_target_gallery	94	REACQUIRED	CONFIRM	[1,41]	1	1	False	True	False	1	1	0.3911771004987511	0.40788669411128786	1	0	0
r1_ambiguity_guarded_hailo	ambiguity_guarded_hailo	834	all_target_history	128	LOST	HOVER	[1,41]	1	41	False	True	False	41	1	0.055982181665922726	0.058595194956613805	0	1	0
r1_ambiguity_guarded_hailo	ambiguity_guarded_hailo	834	updated_target_gallery	117	LOST	HOVER	[1,41]	1	41	False	True	False	41	1	0.0577848948703652	0.057085404896425995	0	1	0
r1_ambiguity_guarded_hailo	ambiguity_guarded_hailo	839	all_target_history	129	LOST	HOVER	[1,41]	1	41	True	True	True	41	41	0.30290274361873804	0.2853206130276602	1	0	0
r1_ambiguity_guarded_hailo	ambiguity_guarded_hailo	839	updated_target_gallery	117	LOST	HOVER	[1,41]	1	41	True	True	True	41	41	0.3089939920369953	0.2903313252899644	1	0	0
r1_ambiguity_guarded_hailo	ambiguity_guarded_hailo	842	all_target_history	130	REACQUIRED	CONFIRM	[1,41]	1	41	True	True	True	41	41	0.3262285852299698	0.3880189468042998	1	0	0
r1_ambiguity_guarded_hailo	ambiguity_guarded_hailo	842	updated_target_gallery	117	REACQUIRED	CONFIRM	[1,41]	1	41	True	True	True	41	41	0.33720938838285697	0.39857986862058503	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	170	all_target_history	3	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.39676606364584854	0.47360872134625465	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	170	updated_target_gallery	3	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.39676606364584854	0.47360872134625465	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	186	all_target_history	4	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.4191316695525984	0.48421014889728314	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	186	updated_target_gallery	4	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.4191316695525984	0.48421014889728314	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	192	all_target_history	5	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.3770384626244052	0.35926007281112315	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	192	updated_target_gallery	5	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.3770384626244052	0.35926007281112315	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	217	all_target_history	7	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.3507487862114179	0.4427071598473311	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	217	updated_target_gallery	7	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.3507487862114179	0.4427071598473311	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	224	all_target_history	8	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.41280695576445836	0.4566605668088455	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	224	updated_target_gallery	8	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.41280695576445836	0.4566605668088455	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	235	all_target_history	11	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.5006417216798933	0.3524003383871439	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	235	updated_target_gallery	11	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.5006417216798933	0.3524003383871439	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	251	all_target_history	12	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.35226657852364895	0.3752780099924474	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	251	updated_target_gallery	12	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.35226657852364895	0.3752780099924474	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	384	all_target_history	19	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.35625955240248885	0.33929923127101325	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	384	updated_target_gallery	19	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.35625955240248885	0.33929923127101325	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	534	all_target_history	39	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.46598134437792704	0.272449533915073	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	534	updated_target_gallery	36	LOCKED	NORMAL	[1,2]	1	1	True	True	True	1	1	0.4717005586150031	0.27731304302224846	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	654	all_target_history	46	LOCKED	NORMAL	[1,41]	1	1	True	True	True	1	1	0.3383153078573742	0.3938467307131097	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	654	updated_target_gallery	43	LOCKED	NORMAL	[1,41]	1	1	True	True	True	1	1	0.33537256326920295	0.39322115599906726	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	660	all_target_history	47	LOCKED	NORMAL	[1,41]	1	1	True	True	True	1	1	0.3235384253803494	0.44093972340585275	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	660	updated_target_gallery	44	LOCKED	NORMAL	[1,41]	1	1	True	True	True	1	1	0.32356745848699375	0.4408353699999449	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	672	all_target_history	49	LOCKED	NORMAL	[1,41]	1	1	True	True	True	1	1	0.24226365322578303	0.4195062396969508	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	672	updated_target_gallery	46	LOCKED	NORMAL	[1,41]	1	1	True	True	True	1	1	0.2438348500218095	0.4196724510715695	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	734	all_target_history	55	LOCKED	NORMAL	[1,41]	1	1	True	True	True	1	1	0.23865741237192828	0.3587357084399163	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	734	updated_target_gallery	50	LOCKED	NORMAL	[1,41]	1	1	True	True	True	1	1	0.2389229973600584	0.3551800233365163	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	842	all_target_history	75	REACQUIRED	CONFIRM	[1,41]	1	41	True	True	True	41	41	0.3163789560931872	0.37535915401647924	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	842	updated_target_gallery	66	REACQUIRED	CONFIRM	[1,41]	1	41	True	True	True	41	41	0.3320556605713374	0.39062303834145706	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	859	all_target_history	76	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.2581967073581036	0.3521592022554306	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	859	updated_target_gallery	66	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.27715880420548944	0.3750471962874321	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	865	all_target_history	77	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.18435955789566394	0.2740837517799122	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	865	updated_target_gallery	67	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.20263389647772756	0.2924926096626974	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	887	all_target_history	80	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.22745075336521892	0.34107710935955604	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	887	updated_target_gallery	70	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.24758299972955677	0.36153291326697046	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	896	all_target_history	81	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.0995774721134054	0.20496942772160653	1	0	0
r2_all_candidates_hailo	all_candidates_hailo	896	updated_target_gallery	71	LOCKED	NORMAL	[1,41]	41	41	True	True	True	41	41	0.10862103205534934	0.21890988084810525	1	0	0
