path	frames_present
appearance_crop_quality_by_track_id.39.memory_update_eligible	18
appearance_crop_quality_by_track_id.39.min_centre_distance_norm	18
appearance_crop_quality_by_track_id.39.rejection_reasons	18
appearance_crop_quality_by_track_id.39.rejection_reasons[]	18
appearance_embedding_age_ms_by_track_id.30	18
appearance_embedding_age_ms_by_track_id.68	18
appearance_embedding_age_ms_by_track_id.48	15
appearance_crop_quality_by_track_id.18	12
appearance_crop_quality_by_track_id.18.aspect_ratio	12
appearance_crop_quality_by_track_id.18.clipping_fraction	12
appearance_crop_quality_by_track_id.18.crop_height_px	12
appearance_crop_quality_by_track_id.18.crop_width_px	12
appearance_crop_quality_by_track_id.18.encoding_eligible	12
appearance_crop_quality_by_track_id.18.max_iou_with_other	12
appearance_crop_quality_by_track_id.18.memory_update_eligible	12
appearance_crop_quality_by_track_id.18.min_centre_distance_norm	12
appearance_crop_quality_by_track_id.18.rejection_reasons	12
appearance_crop_quality_by_track_id.18.rejection_reasons[]	12
appearance_crop_quality_by_track_id.52	12
appearance_crop_quality_by_track_id.52.aspect_ratio	12
appearance_crop_quality_by_track_id.52.clipping_fraction	12
appearance_crop_quality_by_track_id.52.crop_height_px	12
appearance_crop_quality_by_track_id.52.crop_width_px	12
appearance_crop_quality_by_track_id.52.encoding_eligible	12
appearance_crop_quality_by_track_id.52.max_iou_with_other	12
appearance_crop_quality_by_track_id.52.memory_update_eligible	12
appearance_crop_quality_by_track_id.52.min_centre_distance_norm	12
appearance_crop_quality_by_track_id.52.rejection_reasons	12
appearance_crop_quality_by_track_id.52.rejection_reasons[]	12
appearance_crop_quality_by_track_id.53	12
appearance_crop_quality_by_track_id.53.aspect_ratio	12
appearance_crop_quality_by_track_id.53.clipping_fraction	12
appearance_crop_quality_by_track_id.53.crop_height_px	12
appearance_crop_quality_by_track_id.53.crop_width_px	12
appearance_crop_quality_by_track_id.53.encoding_eligible	12
appearance_crop_quality_by_track_id.53.max_iou_with_other	12
appearance_crop_quality_by_track_id.53.memory_update_eligible	12
appearance_crop_quality_by_track_id.53.min_centre_distance_norm	12
appearance_crop_quality_by_track_id.53.rejection_reasons	12
appearance_crop_quality_by_track_id.53.rejection_reasons[]	12
appearance_crop_quality_by_track_id.58.rejection_reasons[]	12
appearance_crop_quality_by_track_id.64	12
appearance_crop_quality_by_track_id.64.aspect_ratio	12
appearance_crop_quality_by_track_id.64.clipping_fraction	12
appearance_crop_quality_by_track_id.64.crop_height_px	12
appearance_crop_quality_by_track_id.64.crop_width_px	12
appearance_crop_quality_by_track_id.64.encoding_eligible	12
appearance_crop_quality_by_track_id.64.max_iou_with_other	12
appearance_crop_quality_by_track_id.64.memory_update_eligible	12
appearance_crop_quality_by_track_id.64.min_centre_distance_norm	12
appearance_crop_quality_by_track_id.64.rejection_reasons	12
appearance_crop_quality_by_track_id.64.rejection_reasons[]	12
appearance_crop_quality_by_track_id.67	12
appearance_crop_quality_by_track_id.67.aspect_ratio	12
appearance_crop_quality_by_track_id.67.clipping_fraction	12
appearance_crop_quality_by_track_id.67.crop_height_px	12
appearance_crop_quality_by_track_id.67.crop_width_px	12
appearance_crop_quality_by_track_id.67.encoding_eligible	12
appearance_crop_quality_by_track_id.67.max_iou_with_other	12
appearance_crop_quality_by_track_id.67.memory_update_eligible	12
appearance_crop_quality_by_track_id.67.min_centre_distance_norm	12
appearance_crop_quality_by_track_id.67.rejection_reasons	12
appearance_crop_quality_by_track_id.67.rejection_reasons[]	12
appearance_crop_quality_by_track_id.9	12
appearance_crop_quality_by_track_id.9.aspect_ratio	12
appearance_crop_quality_by_track_id.9.clipping_fraction	12
appearance_crop_quality_by_track_id.9.crop_height_px	12
appearance_crop_quality_by_track_id.9.crop_width_px	12
appearance_crop_quality_by_track_id.9.encoding_eligible	12
appearance_crop_quality_by_track_id.9.max_iou_with_other	12
appearance_crop_quality_by_track_id.9.memory_update_eligible	12
appearance_crop_quality_by_track_id.9.min_centre_distance_norm	12
appearance_crop_quality_by_track_id.9.rejection_reasons	12
appearance_crop_quality_by_track_id.54	9
appearance_crop_quality_by_track_id.54.aspect_ratio	9
appearance_crop_quality_by_track_id.54.clipping_fraction	9
appearance_crop_quality_by_track_id.54.crop_height_px	9
appearance_crop_quality_by_track_id.54.crop_width_px	9
appearance_crop_quality_by_track_id.54.encoding_eligible	9
appearance_crop_quality_by_track_id.54.max_iou_with_other	9
appearance_crop_quality_by_track_id.54.memory_update_eligible	9
appearance_crop_quality_by_track_id.54.min_centre_distance_norm	9
appearance_crop_quality_by_track_id.54.rejection_reasons	9
appearance_crop_quality_by_track_id.54.rejection_reasons[]	9
appearance_crop_quality_by_track_id.56	9
appearance_crop_quality_by_track_id.56.aspect_ratio	9
appearance_crop_quality_by_track_id.56.clipping_fraction	9
appearance_crop_quality_by_track_id.56.crop_height_px	9
appearance_crop_quality_by_track_id.56.crop_width_px	9
appearance_crop_quality_by_track_id.56.encoding_eligible	9
appearance_crop_quality_by_track_id.56.max_iou_with_other	9
appearance_crop_quality_by_track_id.56.memory_update_eligible	9
appearance_crop_quality_by_track_id.56.min_centre_distance_norm	9
appearance_crop_quality_by_track_id.56.rejection_reasons	9
appearance_crop_quality_by_track_id.56.rejection_reasons[]	9
appearance_embedding_age_ms_by_track_id.58	8
appearance_crop_quality_by_track_id.4	6
appearance_crop_quality_by_track_id.4.aspect_ratio	6
appearance_crop_quality_by_track_id.4.clipping_fraction	6
appearance_crop_quality_by_track_id.4.crop_height_px	6
appearance_crop_quality_by_track_id.4.crop_width_px	6
appearance_crop_quality_by_track_id.4.encoding_eligible	6
appearance_crop_quality_by_track_id.4.max_iou_with_other	6
appearance_crop_quality_by_track_id.4.memory_update_eligible	6
appearance_crop_quality_by_track_id.4.min_centre_distance_norm	6
appearance_crop_quality_by_track_id.4.rejection_reasons	6
appearance_crop_quality_by_track_id.4.rejection_reasons[]	6
appearance_crop_quality_by_track_id.43	6
appearance_crop_quality_by_track_id.43.aspect_ratio	6
appearance_crop_quality_by_track_id.43.clipping_fraction	6
appearance_crop_quality_by_track_id.43.crop_height_px	6
appearance_crop_quality_by_track_id.43.crop_width_px	6
appearance_crop_quality_by_track_id.43.encoding_eligible	6
appearance_crop_quality_by_track_id.43.max_iou_with_other	6
appearance_crop_quality_by_track_id.43.memory_update_eligible	6
appearance_crop_quality_by_track_id.43.min_centre_distance_norm	6
appearance_crop_quality_by_track_id.43.rejection_reasons	6
appearance_crop_quality_by_track_id.43.rejection_reasons[]	6
appearance_crop_quality_by_track_id.50	6
appearance_crop_quality_by_track_id.50.aspect_ratio	6
appearance_crop_quality_by_track_id.50.clipping_fraction	6
appearance_crop_quality_by_track_id.50.crop_height_px	6
appearance_crop_quality_by_track_id.50.crop_width_px	6
appearance_crop_quality_by_track_id.50.encoding_eligible	6
appearance_crop_quality_by_track_id.50.max_iou_with_other	6
appearance_crop_quality_by_track_id.50.memory_update_eligible	6
appearance_crop_quality_by_track_id.50.min_centre_distance_norm	6
appearance_crop_quality_by_track_id.50.rejection_reasons	6
appearance_crop_quality_by_track_id.50.rejection_reasons[]	6
appearance_crop_quality_by_track_id.51	6
appearance_crop_quality_by_track_id.51.aspect_ratio	6
appearance_crop_quality_by_track_id.51.clipping_fraction	6
appearance_crop_quality_by_track_id.51.crop_height_px	6
appearance_crop_quality_by_track_id.51.crop_width_px	6
appearance_crop_quality_by_track_id.51.encoding_eligible	6
appearance_crop_quality_by_track_id.51.max_iou_with_other	6
appearance_crop_quality_by_track_id.51.memory_update_eligible	6
appearance_crop_quality_by_track_id.51.min_centre_distance_norm	6
appearance_crop_quality_by_track_id.51.rejection_reasons	6
appearance_crop_quality_by_track_id.55	6
appearance_crop_quality_by_track_id.55.aspect_ratio	6
appearance_crop_quality_by_track_id.55.clipping_fraction	6
appearance_crop_quality_by_track_id.55.crop_height_px	6
appearance_crop_quality_by_track_id.55.crop_width_px	6
appearance_crop_quality_by_track_id.55.encoding_eligible	6
appearance_crop_quality_by_track_id.55.max_iou_with_other	6
appearance_crop_quality_by_track_id.55.memory_update_eligible	6
appearance_crop_quality_by_track_id.55.min_centre_distance_norm	6
appearance_crop_quality_by_track_id.55.rejection_reasons	6
appearance_crop_quality_by_track_id.55.rejection_reasons[]	6
appearance_crop_quality_by_track_id.60.rejection_reasons[]	6
appearance_crop_quality_by_track_id.7	6
appearance_crop_quality_by_track_id.7.aspect_ratio	6
appearance_crop_quality_by_track_id.7.clipping_fraction	6
appearance_crop_quality_by_track_id.7.crop_height_px	6
appearance_crop_quality_by_track_id.7.crop_width_px	6
appearance_crop_quality_by_track_id.7.encoding_eligible	6
appearance_crop_quality_by_track_id.7.max_iou_with_other	6
appearance_crop_quality_by_track_id.7.memory_update_eligible	6
appearance_crop_quality_by_track_id.7.min_centre_distance_norm	6
appearance_crop_quality_by_track_id.7.rejection_reasons	6
appearance_crop_quality_by_track_id.7.rejection_reasons[]	6
appearance_crop_quality_by_track_id.9.rejection_reasons[]	6
appearance_embedding_age_ms_by_track_id.35	6
appearance_crop_quality_by_track_id.3	4
appearance_crop_quality_by_track_id.3.aspect_ratio	4
appearance_crop_quality_by_track_id.3.clipping_fraction	4
appearance_crop_quality_by_track_id.3.crop_height_px	4
appearance_crop_quality_by_track_id.3.crop_width_px	4
appearance_crop_quality_by_track_id.3.encoding_eligible	4
appearance_crop_quality_by_track_id.3.max_iou_with_other	4
appearance_crop_quality_by_track_id.3.memory_update_eligible	4
appearance_crop_quality_by_track_id.3.min_centre_distance_norm	4
appearance_crop_quality_by_track_id.3.rejection_reasons	4
appearance_crop_quality_by_track_id.3.rejection_reasons[]	4
appearance_embedding_age_ms_by_track_id.51	3
appearance_embedding_age_ms_by_track_id.9	3
hard_negative_events[].snapshot.appearance_frame_generation	3
hard_negative_events[].snapshot.appearance_source_crop_quality.memory_update_eligible	3
hard_negative_events[].snapshot.appearance_track_generation	3
hard_negative_events[].snapshot.latest_crop_quality.memory_update_eligible	3
hard_negative_events[].snapshot.latest_geometry_score	3
hard_negative_events[].snapshot.lifecycle_state	3
hard_negative_events[].snapshot.selected_track_ids	3
hard_negative_events[].snapshot.selected_track_ids[]	3
hard_negative_events[].snapshot.source_track_ids	3
hard_negative_events[].snapshot.source_track_ids[]	3
appearance_crop_quality_by_track_id.29	1
appearance_crop_quality_by_track_id.29.aspect_ratio	1
appearance_crop_quality_by_track_id.29.clipping_fraction	1
appearance_crop_quality_by_track_id.29.crop_height_px	1
appearance_crop_quality_by_track_id.29.crop_width_px	1
appearance_crop_quality_by_track_id.29.encoding_eligible	1
appearance_crop_quality_by_track_id.29.max_iou_with_other	1
appearance_crop_quality_by_track_id.29.memory_update_eligible	1
appearance_crop_quality_by_track_id.29.min_centre_distance_norm	1
appearance_crop_quality_by_track_id.29.rejection_reasons	1
appearance_crop_quality_by_track_id.29.rejection_reasons[]	1
